"","frequency","ip","country_code","country_name","region_code","region_name","city","zip_code","time_zone","latitude","longitude","metro_code"
"60",5311,"103.41.124.175","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"61",8661,"103.41.124.176","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"62",432,"103.41.124.177","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"63",87,"103.41.124.18","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"64",213,"103.41.124.180","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"65",432,"103.41.124.184","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"66",2867,"103.41.124.185","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"67",219,"103.41.124.186","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"68",4486,"103.41.124.187","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"69",6642,"103.41.124.188","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"70",438,"103.41.124.26","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"71",183,"103.41.124.27","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"72",258,"103.41.124.28","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"73",537,"103.41.124.29","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"74",177,"103.41.124.31","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"75",813,"103.41.124.32","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"76",267,"103.41.124.34","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"77",267,"103.41.124.35","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"78",273,"103.41.124.36","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"79",8432,"103.41.124.38","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"80",270,"103.41.124.39","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"81",438,"103.41.124.40","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"82",360,"103.41.124.41","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"83",417,"103.41.124.42","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"84",8581,"103.41.124.43","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"85",540,"103.41.124.44","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"86",276,"103.41.124.45","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"87",267,"103.41.124.46","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"88",534,"103.41.124.47","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
